id,first_name,last_name,number_account,value,verified_transaction
1,Roselle,Beazleigh,150568560,7894,true
2,Pearline,Manna,667255441,45507,false
3,Brent,Druitt,065446651,65524,false
4,Meriel,Trayhorn,707861426,64875,true
5,Ludvig,Martensen,669793441,36064,false
6,Jeramey,Adney,526613744,34933,true
7,Clarita,McNerlin,551160691,33732,false
8,Dolf,Dewan,084406689,2264,true
9,Cati,Brende,821341071,29551,false
10,Jobina,Ahern,013756461,94682,true
11,Rickie,Kenwrick,535343428,13857,false
12,Helsa,Byneth,890625643,53408,false
13,Eleanora,O'Shevlan,390701517,92008,true
14,Terza,Battle,925870161,77095,false
15,Jameson,Jacquemard,491885750,11285,false
16,Berkly,Coneybeer,344173102,49061,false
17,Hildagard,Norfolk,080044068,30272,false
18,Jessa,Golsby,465261595,27410,true
19,Teri,Pryn,950021287,11038,false
20,Hendrik,Shillabeare,835377121,30943,true
21,Tull,Chartre,812491824,14647,true
22,Gayle,Rate,142339251,75638,false
23,Maurine,Ketts,062505422,2492,false
24,Sigismond,Suller,356359978,23756,true
25,Darya,Champneys,905901790,67371,true
26,Curt,Lidstone,474489329,54852,true
27,Kamilah,Taw,043795751,42977,true
28,Marna,Brunsen,199469234,73272,false
29,Gleda,Merkle,528129174,63580,true
30,Helyn,FitzGeorge,758376314,41794,true
31,Caesar,McGriele,818427530,13924,true
32,Fredrika,Gorries,014118096,99977,true
33,Thedrick,Lopes,679825136,77565,false
34,Peria,Mayling,776099700,71502,false
35,Norris,Ditch,826697359,95055,true
36,Nona,Rennox,997728166,56579,false
37,Blane,Poulden,964059293,35757,false
38,Ingeborg,Millican,131615661,58635,true
39,Maxie,Vice,433396555,50119,false
40,Antonia,Melhuish,659703455,40415,true
41,Ramonda,Jeynes,577564092,9954,true
42,Korie,MacRory,398023613,4315,true
43,Heida,Pane,326808896,48701,false
44,Renaud,Zoren,335777618,53500,true
45,Antons,Fishwick,320286255,92789,false
46,Idalina,Feely,724408080,30582,false
47,Ado,Hearnden,612879689,45411,true
48,Stearne,Ferreras,650913231,55883,false
49,Jolee,Ibbison,157159103,75143,true
50,Hi,Pinchin,788157449,26581,true
